"全国地方公共団体コード","ID","地方公共団体名","名称","名称_カナ","名称_英字","名称_通称","POIコード","外部識別子","外部識別子の値","所在地_全国地方公共団体コード","町字ID","所在地_連結表記","所在地_都道府県","所在地_市区町村","所在地_町字","所在地_番地以下","建物名等(方書)","緯度","経度","高度の種別","高度の値","電話番号","内線番号","連絡先メールアドレス","連絡先FormURL","連絡先備考（その他、SNSなど）","郵便番号","法人番号","団体名","利用可能曜日","開始時間","終了時間","利用可能時間特記事項","説明","車椅子可","車椅子貸出","ツエ貸出","バリアフリートイレ","スロープ、エレベータ、エスカレータ","点字ブロック等の移動支援","点字や読上による支援","盲導犬・介助犬、聴導犬同伴","字幕","筆談対応","優先駐車場","オストメイト対応トイレ","授乳室","おむつ替えコーナー","飲食可否","ベビーカー貸出","ベビーカー利用","URL","画像","画像_ライセンス","備考"
"131199","131199000001","板橋区","板橋区役所","","","","","","","","131199","東京都板橋区板橋2-66-1","東京都","板橋区","板橋2丁目","66-1","","35.751126","139.709251","","","(03)3964-1111","","","","","1738501","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"131199","131199000002","板橋区","赤塚支所","","","","","","","","131199","東京都板橋区赤塚6-38-1","東京都","板橋区","赤塚6丁目","38-1","","35.77889","139.644697","","","(03)3938-5113","","","","","1750092","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"131199","131199000003","板橋区","仲町区民事務所","","","","","","","","131199","東京都板橋区仲町20-5","東京都","板橋区","仲町","20-5","","35.751227","139.696422","","","(03)3959-4105","","","","","1730022","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"131199","131199000004","板橋区","常盤台区民事務所","","","","","","","","131199","東京都板橋区常盤台3-27-1","東京都","板橋区","常盤台3丁目","27-1","","35.761178","139.682575","","","(03)3967-6711","","","","","1740071","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"131199","131199000005","板橋区","志村坂上区民事務所","","","","","","","","131199","東京都板橋区小豆沢2-19-15","東京都","板橋区","小豆沢2丁目","19-15","","35.776506","139.696148","","","(03)3969-7571","","","","","1740051","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"131199","131199000006","板橋区","蓮根区民事務所","","","","","","","","131199","東京都板橋区坂下2-18-1","東京都","板橋区","坂下2丁目","18-1","","35.782439","139.680772","","","(03)3969-7581","","","","","1740043","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"131199","131199000007","板橋区","下赤塚区民事務所","","","","","","","","131199","東京都板橋区赤塚6-38-1","東京都","板橋区","赤塚6丁目","38-1","","35.778595","139.644763","","","(03)3938-5110","","","","","1750092","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"131199","131199000008","板橋区","高島平区民事務所","","","","","","","","131199","東京都板橋区高島平3-12-28","東京都","板橋区","高島平3丁目","12-28","","35.787129","139.659031","","","(03)3938-1191","","","","","1750082","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"131199","131199000009","板橋区","いたばし観光センター","","","","","","","","131199","東京都板橋区板橋3-14-15","東京都","板橋区","板橋3丁目","14-15","","35.751126","139.712136","","","(03)3963-5078","","","","","1730004","","","","","","","","","","","","","","","","","","","","","","","","","http://www.city.itabashi.tokyo.jp/c_kurashi/003/003921.html","","",""
"131199","131199000010","板橋区","情報処理センター","","","","","","","","131199","東京都板橋区板橋2-65-6","東京都","板橋区","板橋2丁目","65-6","","35.749957","139.708943","","","","","","","","1730004","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"131199","131199000011","板橋区","いたばし総合ボランティアセンター","","","","","","","","131199","東京都板橋区本町24-1公文書館1階","東京都","板橋区","本町","24-1 公文書館1階","","35.759751","139.708365","","","(03)5944-4601","","","","","1730001","","","","","","","","","","","","","","","","","","","","","","","","","http://www.city.itabashi.tokyo.jp/c_kurashi/002/002156.html","","",""
"131199","131199000012","板橋区","公文書館","","","","","","","","131199","東京都板橋区本町24-1","東京都","板橋区","本町","24-1","","35.759519","139.708127","","","(03)3579-2291","","","","","1730001","","","","","","","","","","","","","","","","","","","","","","","","","http://www.city.itabashi.tokyo.jp/c_kurashi/000/000987.html","","",""
"131199","131199000013","板橋区","男女平等推進センター","","","","","","","","131199","東京都板橋区栄町36-1","東京都","板橋区","栄町","36-1","","35.75081","139.705259","","","(03)3579-2790","","","","","1730015","","","","","","","","","","","","","","","","","","","","","","","","","http://www.city.itabashi.tokyo.jp/c_kurashi/006/006637.html","","",""
